Epoch 9: duration loss = 0.603 | prior loss = 1.465 | diffusion loss = 0.127
Epoch 10: duration loss = 0.587 | prior loss = 1.463 | diffusion loss = 0.119
Epoch 11: duration loss = 0.590 | prior loss = 1.452 | diffusion loss = 0.122
Epoch 12: duration loss = 0.584 | prior loss = 1.451 | diffusion loss = 0.118
Epoch 13: duration loss = 0.569 | prior loss = 1.444 | diffusion loss = 0.113
Epoch 14: duration loss = 0.570 | prior loss = 1.422 | diffusion loss = 0.109
Epoch 15: duration loss = 0.559 | prior loss = 1.434 | diffusion loss = 0.137
Epoch 16: duration loss = 0.559 | prior loss = 1.422 | diffusion loss = 0.141
Epoch 17: duration loss = 0.561 | prior loss = 1.419 | diffusion loss = 0.118
Epoch 18: duration loss = 0.554 | prior loss = 1.418 | diffusion loss = 0.111
Epoch 19: duration loss = 0.552 | prior loss = 1.414 | diffusion loss = 0.122
Epoch 20: duration loss = 0.546 | prior loss = 1.397 | diffusion loss = 0.123
Epoch 21: duration loss = 0.544 | prior loss = 1.406 | diffusion loss = 0.113
Epoch 22: duration loss = 0.544 | prior loss = 1.393 | diffusion loss = 0.136
Epoch 23: duration loss = 0.539 | prior loss = 1.401 | diffusion loss = 0.139
Epoch 24: duration loss = 0.535 | prior loss = 1.388 | diffusion loss = 0.105
Epoch 25: duration loss = 0.548 | prior loss = 1.392 | diffusion loss = 0.103
Epoch 26: duration loss = 0.536 | prior loss = 1.383 | diffusion loss = 0.102
Epoch 27: duration loss = 0.537 | prior loss = 1.379 | diffusion loss = 0.118
Epoch 28: duration loss = 0.531 | prior loss = 1.377 | diffusion loss = 0.104
Epoch 29: duration loss = 0.526 | prior loss = 1.375 | diffusion loss = 0.132
Epoch 30: duration loss = 0.532 | prior loss = 1.364 | diffusion loss = 0.116
Epoch 31: duration loss = 0.530 | prior loss = 1.381 | diffusion loss = 0.119
Epoch 32: duration loss = 0.529 | prior loss = 1.369 | diffusion loss = 0.122
Epoch 33: duration loss = 0.520 | prior loss = 1.368 | diffusion loss = 0.118
Epoch 34: duration loss = 0.521 | prior loss = 1.368 | diffusion loss = 0.116
Epoch 35: duration loss = 0.523 | prior loss = 1.357 | diffusion loss = 0.112
Epoch 36: duration loss = 0.518 | prior loss = 1.357 | diffusion loss = 0.134
Epoch 37: duration loss = 0.517 | prior loss = 1.357 | diffusion loss = 0.097
Epoch 38: duration loss = 0.511 | prior loss = 1.350 | diffusion loss = 0.122
Epoch 39: duration loss = 0.510 | prior loss = 1.351 | diffusion loss = 0.108
Epoch 40: duration loss = 0.519 | prior loss = 1.356 | diffusion loss = 0.125
Epoch 41: duration loss = 0.511 | prior loss = 1.360 | diffusion loss = 0.123
Epoch 42: duration loss = 0.510 | prior loss = 1.350 | diffusion loss = 0.144
Epoch 43: duration loss = 0.508 | prior loss = 1.344 | diffusion loss = 0.113
Epoch 44: duration loss = 0.506 | prior loss = 1.338 | diffusion loss = 0.114
Epoch 45: duration loss = 0.508 | prior loss = 1.340 | diffusion loss = 0.133
Epoch 46: duration loss = 0.502 | prior loss = 1.336 | diffusion loss = 0.131
Epoch 47: duration loss = 0.504 | prior loss = 1.343 | diffusion loss = 0.109
Epoch 48: duration loss = 0.508 | prior loss = 1.331 | diffusion loss = 0.115
Epoch 49: duration loss = 0.499 | prior loss = 1.337 | diffusion loss = 0.115
Epoch 50: duration loss = 0.504 | prior loss = 1.333 | diffusion loss = 0.133
Epoch 1: duration loss = 1.063 | prior loss = 1.912 | diffusion loss = 0.113
Epoch 2: duration loss = 0.775 | prior loss = 1.670 | diffusion loss = 0.125
Epoch 3: duration loss = 0.708 | prior loss = 1.596 | diffusion loss = 0.137
Epoch 4: duration loss = 0.677 | prior loss = 1.559 | diffusion loss = 0.119
Epoch 5: duration loss = 0.656 | prior loss = 1.525 | diffusion loss = 0.095
Epoch 6: duration loss = 0.640 | prior loss = 1.512 | diffusion loss = 0.133
Epoch 7: duration loss = 0.624 | prior loss = 1.487 | diffusion loss = 0.155
Epoch 8: duration loss = 0.609 | prior loss = 1.471 | diffusion loss = 0.104
Epoch 9: duration loss = 0.601 | prior loss = 1.462 | diffusion loss = 0.127
Epoch 10: duration loss = 0.586 | prior loss = 1.462 | diffusion loss = 0.119
Epoch 11: duration loss = 0.591 | prior loss = 1.454 | diffusion loss = 0.122
Epoch 12: duration loss = 0.580 | prior loss = 1.452 | diffusion loss = 0.118
Epoch 13: duration loss = 0.575 | prior loss = 1.445 | diffusion loss = 0.113
Epoch 14: duration loss = 0.576 | prior loss = 1.424 | diffusion loss = 0.109
Epoch 15: duration loss = 0.567 | prior loss = 1.435 | diffusion loss = 0.137
Epoch 16: duration loss = 0.565 | prior loss = 1.423 | diffusion loss = 0.141
